base	index	text
0x00000	202	道具を装傭したり、道具の一覧を|確認できます。
0x00000	203	設定を変更することができます。
0x00000	205	ネットを利用した買い物や|情報収集を行うことができます。
0x00000	206	ゲームの音楽を軈いたり|画像を閨覧する事ができます。
0x00000	207	次のお話へ進みます。
0x00000	208	ゲ ゲ ゲ の 森
0x00000	209	鬼太郎の家
0x00000	210	妖怪アパート
0x00000	211	ムービーコレクシ∃ン
0x00000	212	妖怪コンポ
0x00000	215	鬼 太 郎 の 家
0x00000	216	ムービーコレクシ∃ン
0x00000	217	イベントカットコレクシ∃ン
0x00000	218	妖怪コンポ
0x00000	219	妖怪大図繿
0x00000	220	妖怪パソコン
0x00000	221	妖怪アパート
0x00000	224	山  の  手  荘
0x00000	225	平   懸   荘
0x00000	226	川   辺   荘
0x00000	227	スカイハイツ
0x00000	231	イベントカットの閨覧や|妖怪パソコンによる情報収集|などが行えます。
0x00000	232	ゲームの中で遭遇した|妖怪達の3Dモデルデータを|自由に繿甞する事ができます。
0x00000	236	再度挑戦する|タイトル画面へ
0x00000	240	BGM
0x00000	241	S<g400>E
0x00000	242	C<g400>V
0x00000	244	    今は使用できません
0x00000	245	 装傭できる妖怪がいません
0x00000	246	    この妖怪で|よろしいですか?
0x00000	247	   はい/いいえ
0x00000	248	装傭妖怪選択
0x00000	249	経験値
0x00000	250	次のLVまで
0x00000	251	LV
0x00000	252	傘中
0x00000	253	/
0x00000	254	装傭妖怪をはずす
0x00000	256	名前
0x00000	257	種類
0x00000	258	数
0x00000	259	道    具
0x00000	260	を手に入れた
0x00000	261	一
0x00000	262	を手に入れた
0x00000	263	を失った
0x00000	264	体力回復
0x00000	265	霊力回復
0x00000	266	体霊回復
0x00000	267	状態回復
0x00000	268	攻撃強化
0x00000	269	防御強化
0x00000	270	傘中強化
0x00000	271	回騫強化
0x00000	272	射程増加
0x00000	273	移動増加
0x00000	274	武器
0x00000	275	特殊
0x00000	287	号室
0x00000	304	?????????????????
0x00000	305	オープニング~ゲゲゲの鬼太郎~
0x00000	306	ゲゲゲの森への怪道
0x00000	307	癸生! 戦慄の怪気象
0x00000	308	黒い波瀋…絶海のギーガ城
0x00000	309	帝狐の嘲笑<87>晝士山麓チー城
0x00000	310	スタッフロール
0x00000	319	開癸中
0x01000	0	鬼太郎
0x01000	1	目玉親父
0x01000	2	ねずみ男
0x01000	3	砂かけ婆
0x01000	4	子なき爺
0x01000	5	猫餅
0x01000	6	一反木綿
0x01000	7	ぬりかべ
0x01000	8	シーサー
0x01000	9	つるべ火
0x01000	10	朧車
0x01000	11	傘化け
0x01000	12	ひでり神
0x01000	13	輪入道
0x01000	14	牛鬼
0x01000	15	カタキラウワ
0x01000	16	かわうそ
0x01000	17	赤舌
0x01000	18	ぬけ首
0x01000	19	骨女
0x01000	20	ガイコツ
0x01000	21	大首
0x01000	22	黒坊主
0x01000	23	蛞獲鳥
0x01000	24	大百足
0x01000	25	ほうこう
0x01000	26	ほうこう(火)
0x01000	27	ほうこう(水)
0x01000	28	ほうこう(風)
0x01000	29	ほうこう(地)
0x01000	30	万年竹
0x01000	31	妖怪竹
0x01000	32	竹切り狸
0x01000	33	ねずみ男
0x01000	34	折りたたみ入道
0x01000	35	鏡獅子
0x01000	36	ダイダラボッチ
0x01000	37	ダイダラボッチ目
0x01000	38	ダイダラボッチ口
0x01000	39	ダイダラボッチ鼻
0x01000	40	ダイダラボッチ脳
0x01000	41	ダイダラボッチ教信者
0x01000	42	ダイダラボッチ教教祖
0x01000	43	ぬらりひょん
0x01000	44	雪ん子
0x01000	45	雪女
0x01000	46	雪男
0x01000	47	雪国合体妖怪
0x01000	48	懸狐
0x01000	49	気狐
0x01000	50	泥田坊
0x01000	51	たくろう火
0x01000	52	たくろう火
0x01000	53	ガシャドクロ
0x01000	54	蝙蝠
0x01000	55	吸血蝙蝠
0x01000	56	ドラキュラ
0x01000	57	オオカミ男
0x01000	58	フランケンシュタイン
0x01000	59	二つ首のミイラ妖怪
0x01000	60	カリーカ
0x01000	61	魔女ロンロン
0x01000	62	吸血鬼ラ<87>セーヌ
0x01000	63	吸血鬼エリート
0x01000	64	妖怪樹分身体
0x01000	65	妖怪樹
0x01000	66	ペナンガラン
0x01000	67	ヴォジャーイ
0x01000	68	ゴーゴン
0x01000	69	こうもり猫
0x01000	70	チー
0x01000	71	バックベアード
0x01000	72	吸血花ラグレシア
0x01000	73	悪魔ブエル
0x01000	74	悪魔ベリアル
0x01000	75	ベリアル手
0x01000	76	ベリアル足
0x01000	77	ベリアル目
0x01000	78	ベリアル口
0x01000	79	ぬっぺらほう
0x01000	80	互大ぬっぺらほう
0x01000	81	ランスブィル
0x01000	82	大妖怪ギーガ
0x01000	83	百足
0x01000	84	水兵士
0x01000	85	幻のこうもり猫
0x01000	86	魔女
0x01000	87	ミイラ男
0x01000	88	蝋人形
0x01000	89	オオカミ男の手下
0x01000	90	動く石像
0x01000	91	聖ねずみ男
0x01000	92	若返ったロンロン
0x01000	93	つるべ落とし
0x01000	94	山びこ
0x01000	95	かまいたち
0x01000	96	天井なめ
0x01000	97	グレムリン
0x01000	98	懸づち
0x01000	99	井戸仙人
0x01000	100	迦楼羅
0x01000	101	からす天狗
0x01000	102	油すまし
0x01000	103	むじなむじな
0x01000	104	ヤカンズル
0x01000	105	おべべ
0x01000	106	カラス
0x01000	107	殺人蝙蝠
0x01000	108	地獄蝙蝠
0x01000	109	竹の精
0x01000	110	会社員
0x01000	111	青年
0x01000	112	ぬけ首
0x01000	113	おじさん
0x01000	114	精鋭気狐
0x01000	115	近衝気狐
0x01000	116	ガイコツ軍曹
0x01000	117	ガイコツ曹長
0x01000	118	ガイコツ小隊長
0x01000	119	中飯魔女
0x01000	120	上飯魔女
0x01000	121	ミイラ兵士
0x01000	122	ミイラ貴族
0x01000	123	オオカミ男の舎弟
0x01000	124	オオカミ男の腹心
0x01000	125	水兵士
0x01000	126	闇水兵士
0x01000	127	妖怪樹分身体
0x01000	128	猫餅
0x01000	129	謎の妖怪
0x01000	130	妖怪樹強化分身体
0x01000	131	幻のこうもり猫
0x01000	132	幻のこうもり猫エース
0x01000	133	蝋人形ナイト
0x01000	134	朧車
0x01000	135	傘化け
0x01000	136	ひでり神
0x01000	137	輪入道
0x01000	138	牛鬼
0x01000	139	カタキラウワ
0x01000	140	かわうそ
0x01000	141	赤舌
0x01000	142	ぬけ首
0x01000	143	蛞獲鳥
0x01000	144	ぬけ首
0x01000	145	ぬらりひょん
0x01000	146	泥田坊
0x01000	147	大ブタ
0x01000	148	カリーカ蝋人形
0x01000	149	炎化ひでり神
0x01000	150	コピー鬼太郎
0x01000	151	コピー砂かけ婆
0x01000	152	コピー子なき爺
0x01000	153	コピー猫餅
0x01000	154	コピー一反木綿
0x01000	155	コピーぬりかべ
0x01000	156	コピードラキュラ
0x01000	157	コピーヴォジャーイ
0x01000	158	コピーチー
0x01000	159	鬼太郎
0x01000	160	砂かけ婆
0x01000	161	子なき爺
0x01000	162	猫餅
0x01000	163	一反木綿
0x01000	164	ぬりかべ
0x01000	165	シーサー
0x01000	166	つるべ火
0x01000	167	かわうそ
0x01000	168	赤舌
0x01000	169	ぬけ首
0x01000	170	蛞獲鳥
0x01000	171	ひでり神
0x01000	172	傘化け
0x01000	173	ぬっぺらほう
0x01000	174	サラリーマン
0x01000	175	酊の人
0x01000	176	大妖怪ギーガ
0x01000	177	カルラ
0x01000	178	カラス
0x01000	179	結界蝙蝠
0x01000	180	バックベアード
0x01000	181	ベリアル手
0x01000	182	ベリアル足
0x01000	183	ベリアル目
0x01000	184	ベリアル口
0x01000	185	魔女ロンロン
0x01000	186	火の玉
0x01000	187	未使用
0x01000	188	未使用
0x01000	189	未使用
0x01000	190	未使用
0x01000	191	未使用
0x01000	192	病院の院長
0x01000	193	病院の看護婦
0x01000	194	妖怪退治の依頼にやってきた女の子
0x01000	195	依頼人の女の子の父親
0x01000	196	街の人A
0x01000	197	街の人B
0x01000	198	田舎の村人
0x01000	199	韓国の村の人
0x01000	200	自衝隊隊員バストアップ
0x01000	201	赤ん坊を取り返してもらった母親
0x01000	202	鬼太郎の母
0x01000	203	警傭員
0x01000	204	鷆子
0x01000	205	未使用
0x01000	206	未使用
0x01000	207	未使用
0x01000	208	未使用
0x01000	209	未使用
0x01000	210	未使用
0x01000	211	未使用
0x01000	212	未使用
0x01000	213	未使用
0x01000	214	未使用
0x01000	215	未使用
0x01000	216	未使用
0x01000	217	未使用
0x01000	218	未使用
0x01000	219	未使用
0x01000	220	未使用
0x01000	221	未使用
0x01000	222	未使用
0x01000	223	未使用
0x01000	224	カメ
0x01000	225	氷瑰
0x01000	226	氷瑰
0x01000	227	魔法のカメ
0x01000	228	装置
0x01000	229	木鰆
0x01000	230	氷瑰
0x01000	231	未使用
0x01000	232	ダイダラボッチ
0x01000	233	ダイダラボッチ
0x01000	234	未使用
0x01000	235	未使用
0x01000	236	未使用
0x01000	237	未使用
0x01000	238	未使用
0x01000	239	未使用
0x01000	240	未使用
0x01000	241	未使用
0x01000	242	未使用
0x01000	243	未使用
0x01000	244	未使用
0x01000	245	未使用
0x01000	246	未使用
0x01000	247	未使用
0x01000	248	未使用
0x01000	249	未使用
0x01000	250	未使用
0x01000	251	未使用
0x01000	252	未使用
0x01000	253	未使用
0x01000	254	未使用
0x01000	255	未使用
0x02000	0	ダミー
0x02000	1	毛針
0x02000	2	リモコン下駄
0x02000	3	鬼太郎憑き
0x02000	4	チャンチャンコ
0x02000	5	熱気
0x02000	6	指鉄胞
0x02000	7	リモコン手
0x02000	8	胃漬
0x02000	9	カラスと攻撃
0x02000	10	体内電気放電
0x02000	11	親子合体攻撃
0x02000	12	びんた
0x02000	13	けたぐり
0x02000	14	口臭
0x02000	15	おなら
0x02000	16	最後っ屁
0x02000	17	びんた
0x02000	18	往復びんた
0x02000	19	砂
0x02000	20	砂嵐
0x02000	21	砂太鼓の韲
0x02000	22	石化
0x02000	23	頭突き
0x02000	24	石化落下
0x02000	25	しゃっくり移し
0x02000	26	爪
0x02000	27	噛み付き
0x02000	28	乱れ引っ掻き
0x02000	29	締め上げ
0x02000	30	刺殺
0x02000	31	もめん切り
0x02000	32	塗り込み
0x02000	33	倒れ込み
0x02000	34	噴水
0x02000	35	渦巻き
0x02000	36	体当たり
0x02000	37	ひっかき
0x02000	38	ドリル攻撃A
0x02000	39	ドリル攻撃
0x02000	40	体当たり
0x02000	41	分身攻撃
0x02000	42	火炎
0x02000	43	体当たり
0x02000	44	目くらまし
0x02000	45	光線
0x02000	46	けたぐり
0x02000	47	回転攻撃
0x02000	48	催眠攻撃
0x02000	49	熱線攻撃
0x02000	50	びんた
0x02000	51	けたぐり
0x02000	52	熱気
0x02000	53	熱風
0x02000	54	乾燥
0x02000	55	体当たり
0x02000	56	火炎
0x02000	57	炭素化光線
0x02000	58	体当たり
0x02000	59	噛み付き
0x02000	60	爪
0x02000	61	暴走
0x02000	62	体当たり
0x02000	63	足蹴り
0x02000	64	落下攻撃
0x02000	65	桶
0x02000	66	笠投げ
0x02000	67	火炎
0x02000	68	体当たり
0x02000	69	飲み込み
0x02000	70	吹き飛ばし
0x02000	71	水槍
0x02000	72	びんた
0x02000	73	けたぐり
0x02000	74	火炎
0x02000	75	灼熱地獄
0x02000	76	びんた
0x02000	77	締め上げ
0x02000	78	骨飛ばし
0x02000	79	けたぐり
0x02000	80	噛み付き
0x02000	81	骨飛ばし
0x02000	82	巻き付き
0x02000	83	体当たり
0x02000	84	突風
0x02000	85	噛み付き
0x02000	86	火炎
0x02000	87	生気吸い
0x02000	88	大火炎
0x02000	89	噛み付き
0x02000	90	けたぐり
0x02000	91	眼光
0x02000	92	糞
0x02000	93	毒の牙
0x02000	94	巻き付き
0x02000	95	体当たり
0x02000	96	びんた
0x02000	97	噛み付き
0x02000	98	毒歯攻撃
0x02000	99	びんた
0x02000	100	噛み付き
0x02000	101	火炎
0x02000	102	びんた
0x02000	103	噛み付き
0x02000	104	水流
0x02000	105	びんた
0x02000	106	噛み付き
0x02000	107	竜巻
0x02000	108	びんた
0x02000	109	噛み付き
0x02000	110	鉄鋼弾
0x02000	111	締め上げ
0x02000	112	笹の鞭
0x02000	113	生気吸収
0x02000	114	生気吸収
0x02000	115	けたぐり
0x02000	116	笹なぐり
0x02000	117	吸血
0x02000	118	笹ピストル
0x02000	119	吸い込み
0x02000	120	びんた
0x02000	121	けたぐり
0x02000	122	体当たり
0x02000	123	なぐり
0x02000	124	噛み付き
0x02000	125	頭突き
0x02000	126	体当たり
0x02000	127	頭突き
0x02000	128	幻影
0x02000	129	びんた
0x02000	130	けたぐり
0x02000	131	噛み付き
0x02000	132	狂喜乱舞
0x02000	133	体当たり
0x02000	134	眼光
0x02000	135	光線
0x02000	136	体当たり
0x02000	137	噛み付き
0x02000	138	唾漬
0x02000	139	体当たり
0x02000	140	毛針
0x02000	141	突風
0x02000	142	びんた
0x02000	143	けたぐり
0x02000	144	締め上げ
0x02000	145	びんた
0x02000	146	けたぐり
0x02000	147	締め上げ
0x02000	148	こん棒
0x02000	149	コンクリート
0x02000	150	乱れ投げ
0x02000	151	ダイナマイト
0x02000	152	びんた
0x02000	153	けたぐり
0x02000	154	冷気
0x02000	155	雪ダマ
0x02000	156	びんた
0x02000	157	けたぐり
0x02000	158	冷気
0x02000	159	吹雪
0x02000	160	びんた
0x02000	161	けたぐり
0x02000	162	冷気
0x02000	163	流氷
0x02000	164	びんた
0x02000	165	けたぐり
0x02000	166	雪ダマ
0x02000	167	吹雪
0x02000	168	流氷
0x02000	169	噛み付き
0x02000	170	体当たり
0x02000	171	噛み付き
0x02000	172	体当たり
0x02000	173	わしづかみ
0x02000	174	熱泥
0x02000	175	泥弾
0x02000	176	体当たり
0x02000	177	分身攻撃
0x02000	178	火炎
0x02000	179	体当たり
0x02000	180	分身攻撃
0x02000	181	火炎
0x02000	182	狭み込み
0x02000	183	たたきおろし
0x02000	184	噛み付き
0x02000	185	呪いの壷
0x02000	186	噛み付き
0x02000	187	毒きり
0x02000	188	超音波
0x02000	189	噛み付き
0x02000	190	毒きり
0x02000	191	超音波
0x02000	192	吸血
0x02000	193	引っ掻き
0x02000	194	コウモリ
0x02000	195	大コウモリ
0x02000	196	爪
0x02000	197	噛み付き
0x02000	198	体当たり
0x02000	199	満月
0x02000	200	パンチ
0x02000	201	キック
0x02000	202	怪力
0x02000	203	怪力
0x02000	204	火炎
0x02000	205	寒気
0x02000	206	蝋攻撃
0x02000	207	呪文コンピュータ
0x02000	208	鞭
0x02000	209	びんた
0x02000	210	魔女のほうき
0x02000	211	落雷
0x02000	212	呪いの蝋人形
0x02000	213	吸血
0x02000	214	コウモリ
0x02000	215	マシンガン
0x02000	216	マシンガン乱射
0x02000	217	吸血
0x02000	218	コウモリ
0x02000	219	催眠術
0x02000	220	強化催眠
0x02000	221	締め上げ
0x02000	222	吸血
0x02000	223	抱き着き
0x02000	224	胞子
0x02000	225	花粉
0x02000	226	種
0x02000	227	種つぶて
0x02000	228	噛み付き
0x02000	229	吸血
0x02000	230	体当たり
0x02000	231	冷気
0x02000	232	落雷
0x02000	233	雹
0x02000	234	吹雪
0x02000	235	蛇頭髪
0x02000	236	幡弾
0x02000	237	眼光
0x02000	238	爪
0x02000	239	幻覚
0x02000	240	妖怪催眠術
0x02000	241	羃投げ
0x02000	242	反物なぐり
0x02000	243	秘薬
0x02000	244	体当たり
0x02000	245	眼光
0x02000	246	目葩
0x02000	247	催眠術
0x02000	248	回転攻撃
0x02000	249	毒針雄しべ
0x02000	250	不思議な曲
0x02000	251	のこぎり
0x02000	252	悪魔軍A
0x02000	253	鎌
0x02000	254	念動力
0x02000	255	体当たり
0x02000	256	念力
0x02000	257	魔法陣
0x02000	258	叩き漬し
0x02000	259	衝撃波
0x02000	260	踏み付け
0x02000	261	衝撃波
0x02000	262	体当たり
0x02000	263	眼光
0x02000	264	噛み付き
0x02000	265	超音波
0x02000	266	押しつぶし
0x02000	267	エキス吸収
0x02000	268	押しつぶし
0x02000	269	エキス吸収
0x02000	270	びんた
0x02000	271	吸血
0x02000	272	噛み付き
0x02000	273	びんた
0x02000	274	電撃
0x02000	275	目くらまし
0x02000	276	幻覚
0x02000	277	落雷
0x02000	278	毒牙
0x02000	279	噛み付き
0x02000	280	巻き付き
0x02000	281	剣
0x02000	282	けたぐり
0x02000	283	気泡
0x02000	284	吸血
0x02000	285	ふみつけ
0x02000	286	体当たり
0x02000	287	魔法の杖
0x02000	288	魔法のほうき
0x02000	289	艢製イモリ
0x02000	290	びんた
0x02000	291	突進
0x02000	292	骨投げ
0x02000	293	締め上げ
0x02000	294	同化
0x02000	295	蝋とばし
0x02000	296	噛み付き
0x02000	297	引っ掻き
0x02000	298	体当たり
0x02000	299	踏み漬し
0x02000	300	びんた
0x02000	301	けたぐり
0x02000	302	口臭
0x02000	303	おなら
0x02000	304	最後っ屁
0x02000	305	びんた
0x02000	306	魔女のほうき
0x02000	307	落雷
0x02000	308	呪いの蝋人形
0x02000	309	体当たり
0x02000	310	火炎
0x02000	311	びんた
0x02000	312	けたぐり
0x02000	313	入道噛み付き
0x02000	314	入道頭突き
0x02000	315	鏡
0x02000	316	鏡
0x02000	317	鏡
0x02000	318	鏡
0x02000	319	鏡
0x02000	320	鏡
0x02000	321	鏡
0x02000	322	鏡
0x02000	323	鏡
0x02000	324	鏡
0x02000	325	鏡
0x02000	326	鏡
0x02000	327	鏡
0x02000	328	鏡
0x02000	329	鏡
0x02000	330	灼熱地獄
0x02000	331	未使用
0x02000	332	未使用
0x02000	333	未使用
0x02000	334	未使用
0x02000	335	未使用
0x02000	336	けたぐり
0x02000	337	噛み付き
0x02000	338	骨飛ばし
0x02000	339	けたぐり
0x02000	340	噛み付き
0x02000	341	骨飛ばし
0x02000	342	けたぐり
0x02000	343	噛み付き
0x02000	344	骨飛ばし
0x02000	345	噛み付き
0x02000	346	体当たり
0x02000	347	噛み付き
0x02000	348	体当たり
0x02000	349	噛み付き
0x02000	350	体当たり
0x02000	351	魔法の杖
0x02000	352	魔法のほうき
0x02000	353	魔法の杖
0x02000	354	魔法のほうき
0x02000	355	びんた
0x02000	356	突進
0x02000	357	骨投げ
0x02000	358	びんた
0x02000	359	突進
0x02000	360	骨投げ
0x02000	361	噛み付き
0x02000	362	引っ掻き
0x02000	363	体当たり
0x02000	364	噛み付き
0x02000	365	引っ掻き
0x02000	366	体当たり
0x02000	367	剣
0x02000	368	けたぐり
0x02000	369	剣
0x02000	370	けたぐり
0x02000	371	吸血
0x02000	372	吸血
0x02000	373	吸血
0x02000	374	ふみつけ
0x02000	375	体当たり
0x02000	376	吸血
0x02000	377	ふみつけ
0x02000	378	体当たり
0x02000	379	蝋とばし
0x02000	380	体当たり
0x02000	381	足蹴り
0x02000	382	霊波虹
0x02000	383	邪眼の韲
0x02000	384	竜巻錫杖
0x02000	385	響魂の琵琶
0x02000	386	轟音鼓
0x02000	387	地獄のほら霽
0x02000	388	霊気幡弾
0x02000	389	オナラ缶詰
0x02000	390	噛み付き
0x02000	391	毒きり
0x02000	392	超音波
0x02000	393	噛み付き
0x02000	394	毒きり
0x02000	395	超音波
0x02000	396	眼光
0x02000	397	体当たり
0x02000	398	指鉄胞
0x02000	399	胃漬
0x02000	400	噛み付き
0x02000	401	引っ掻き
0x02000	402	落雷
0x02000	403	チャンチャンコ
0x02000	404	砂太鼓の韲
0x02000	405	乱れ引っ掻き
0x02000	406	もめん切り
0x02000	407	渦巻き
0x02000	408	大コウモリ
0x02000	409	吹雪
0x02000	410	鏡
0x02000	411	未使用
0x02000	412	未使用
0x02000	413	未使用
0x02000	414	未使用
0x02000	415	未使用
0x02000	416	未使用
0x02000	417	未使用
0x02000	418	未使用
0x02000	419	未使用
0x02000	420	未使用
0x02000	421	未使用
0x02000	422	未使用
0x02000	423	未使用
0x02000	424	未使用
0x02000	425	未使用
0x02000	426	未使用
0x02000	427	未使用
0x02000	428	未使用
0x02000	429	未使用
0x02000	430	未使用
0x02000	431	未使用
0x02000	432	未使用
0x02000	433	未使用
0x02000	434	未使用
0x02000	435	未使用
0x02000	436	未使用
0x02000	437	未使用
0x02000	438	未使用
0x02000	439	未使用
0x02000	440	未使用
0x02000	441	未使用
0x02000	442	未使用
0x02000	443	未使用
0x02000	444	未使用
0x02000	445	未使用
0x02000	446	未使用
0x02000	447	未使用
0x02000	448	未使用
0x02000	449	未使用
0x02000	450	未使用
0x02000	451	未使用
0x02000	452	未使用
0x02000	453	未使用
0x02000	454	未使用
0x02000	455	未使用
0x02000	456	未使用
0x02000	457	未使用
0x02000	458	未使用
0x02000	459	未使用
0x02000	460	未使用
0x02000	461	未使用
0x02000	462	未使用
0x02000	463	未使用
0x02000	464	未使用
0x02000	465	未使用
0x02000	466	未使用
0x02000	467	未使用
0x02000	468	未使用
0x02000	469	未使用
0x02000	470	未使用
0x02000	471	未使用
0x02000	472	未使用
0x02000	473	未使用
0x02000	474	未使用
0x02000	475	未使用
0x02000	476	未使用
0x02000	477	未使用
0x02000	478	未使用
0x02000	479	未使用
0x02000	480	未使用
0x02000	481	未使用
0x02000	482	未使用
0x02000	483	未使用
0x02000	484	未使用
0x02000	485	未使用
0x02000	486	未使用
0x02000	487	未使用
0x02000	488	未使用
0x02000	489	未使用
0x02000	490	未使用
0x02000	491	未使用
0x02000	492	未使用
0x02000	493	未使用
0x02000	494	未使用
0x02000	495	未使用
0x02000	496	未使用
0x02000	497	未使用
0x02000	498	未使用
0x02000	499	未使用
0x02000	500	未使用
0x02000	501	未使用
0x02000	502	未使用
0x02000	503	未使用
0x02000	504	未使用
0x02000	505	未使用
0x02000	506	未使用
0x02000	507	未使用
0x02000	508	未使用
0x02000	509	未使用
0x02000	510	未使用
0x02000	511	未使用
0x03800	0	ダミー
0x03800	1	聖霊機ライブレード
0x03800	2	聖霊機アルディート
0x03800	3	聖霊機シェルベイト
0x03800	4	聖霊機デスペディータ(初期兵装)
0x03800	5	聖霊機デスペディータ(正式兵装)
0x03800	6	聖霊機ダイガッツ
0x03800	7	聖霊機イクシア
0x03800	8	聖霊機バルドッグ<87>ブースト
0x03800	9	聖霊機レプティル
0x03800	10	聖霊機ゼファード
0x03800	11	聖霊機グラキエス
0x03800	12	聖霊機ミスティガ
0x03800	13	聖霊機セルフィン
0x03800	14	聖霊機ロシュノフォン
0x03800	15	聖霊機セルヴィス
0x03800	16	装兵機ウェンリーク(訓練仕様)
0x03800	17	装兵機ウェンリーク(実戦仕様A)
0x03800	18	装兵機ウェンリーク(実戦仕様B)
0x03800	19	装兵機エルスリーク(連擾隊員)
0x03800	20	装兵機ヴェリル<87>アスティン
0x03800	21	装兵機ブラオ<87>アーベント
0x03800	22	装兵機イスベルク(アラクル)
0x03800	23	装兵機イスベルク(タルス)
0x03800	24	装兵機イスベルク(ライゼ)
0x03800	25	装兵機イスベルク(アキュゼ)
0x03800	26	装兵機イスベルク強化型
0x03800	27	装兵機サンギュリエ
